0.37563180529565704 + 0.7887630804027043im,0.049231294979374327 + 0.7175300195979302im,0.049231294979320224 + 0.7175300195979848im
0.049231294979374327 + 0.7175300195979302im,0.37563073349406656 + 0.7887642222505im,0.049230733473157436 + 0.7175305878294771im
0.049231294979320224 + 0.7175300195979848im,0.049230733473157436 + 0.7175305878294771im,0.37563070788857017 + 0.7887642168657985im
