0.0 + 2.1101923489497282e-5im,-0.0 - 6.478131523513781e-6im,-0.0 - 6.4781319245600625e-6im,0.0 - 8.12700336563967e-6im
-0.0 - 6.478131523513779e-6im,0.0 + 2.1101846051091927e-5im,-0.0 - 6.478055501290169e-6im,0.0 - 8.154987333332925e-6im
-0.0 - 6.4781319245600675e-6im,-0.0 - 6.4780555012901724e-6im,0.0 + 2.1101846956349065e-5im,0.0 - 8.15498784081271e-6im
-0.0 - 8.127003365639668e-6im,-0.0 - 8.154987333332922e-6im,-0.0 - 8.154987840812717e-6im,0.0 + 2.8100549031488403e-5im
