0.35408778097916765 + 0.7626401673783515im,0.03264814435310677 + 0.7017378437119421im,0.03265015868226505 + 0.7017928331831447im
0.03264814435310677 + 0.7017378437119421im,0.35410077966281317 + 0.7629627369532862im,0.032656693018120304 + 0.7019539267839128im
0.03265015868226505 + 0.7017928331831447im,0.032656693018120304 + 0.7019539267839128im,0.35410473852840507 + 0.7630699300689439im
