0.0 + 1.6788133260305852e-5im,-0.0 - 5.3147251911364084e-6im,-0.0 - 5.319475158675943e-6im,0.0 - 5.314725190798822e-6im
-0.0 - 5.314725191136407e-6im,0.0 + 1.6779564584211074e-5im,-0.0 - 5.323164661816596e-6im,0.0 - 5.319422712497614e-6im
-0.0 - 5.319475158675943e-6im,-0.0 - 5.323164661816595e-6im,0.0 + 1.6771237945501944e-5im,0.0 - 5.323164661492559e-6im
-0.0 - 5.314725190798823e-6im,-0.0 - 5.3194227124976146e-6im,-0.0 - 5.323164661492557e-6im,0.0 + 1.6779564584873203e-5im
