0.0 + 1.8751500242210994e-5im,-0.0 - 8.836648057496074e-6im,0.0 - 8.836648605311375e-6im
-0.0 - 8.836648057496072e-6im,0.0 + 1.8735208362543605e-5im,0.0 - 8.84469333711288e-6im
-0.0 - 8.836648605311375e-6im,-0.0 - 8.84469333711288e-6im,0.0 + 1.8735208973251958e-5im
